cert_id,student_id,cert_name,issuing_body,tier,domain,year_obtained
RW-CERT-SRM_STA_001-01,SRM_STA_001,Tableau Certified Data Analyst,Issuer,Local,Web,2023
RW-CERT-SRM_STA_001-02,SRM_STA_001,Oracle Certified Professional: Java SE 11,Issuer,Global_Premium,AI,2022
RW-CERT-SRM_STA_001-03,SRM_STA_001,NPTEL - Machine Learning,NPTEL,Local,Cloud,2026
RW-CERT-SRM_STA_001-04,SRM_STA_001,AWS Certified Cloud Practitioner,Issuer,National,AI,2025
RW-CERT-SRM_STA_001_V2-01,SRM_STA_001_V2,Tableau Certified Data Analyst,Issuer,National,Cloud,2023
RW-CERT-SRM_STA_001_V2-02,SRM_STA_001_V2,Oracle Certified Professional: Java SE 11,Issuer,National,Programming,2025
RW-CERT-SRM_STA_001_V2-03,SRM_STA_001_V2,NPTEL - Machine Learning,NPTEL,Global_Standard,Data,2025
RW-CERT-SRM_STA_001_V2-04,SRM_STA_001_V2,AWS Certified Cloud Practitioner,Issuer,Global_Standard,Cloud,2022
RW-CERT-SRM_STA_002-01,SRM_STA_002,Google Cloud Certified: Cloud Engineer,Issuer,Global_Premium,Cloud,2023
RW-CERT-SRM_STA_002-02,SRM_STA_002,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,Web,2026
RW-CERT-SRM_STA_002-03,SRM_STA_002,GitHub Actions Certification,Issuer,National,AI,2026
RW-CERT-SRM_STA_002-04,SRM_STA_002,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Programming,2022
RW-CERT-SRM_STA_002_V2-01,SRM_STA_002_V2,Google Cloud Certified: Cloud Engineer,Issuer,Local,Programming,2024
RW-CERT-SRM_STA_002_V2-02,SRM_STA_002_V2,Oracle Certified Professional: Java SE 11,Issuer,Global_Standard,AI,2026
RW-CERT-SRM_STA_002_V2-03,SRM_STA_002_V2,GitHub Actions Certification,Issuer,Local,Cloud,2023
RW-CERT-SRM_STA_002_V2-04,SRM_STA_002_V2,Microsoft Certified: Azure Fundamentals,Issuer,Global_Standard,Data,2025
