internship_id,student_id,company_name,company_tier,role,domain,duration_months,stipend,mode,year
RW-INT-SRM_STA_002-01,SRM_STA_002,DataNest,Tier1,Web Developer Intern,Cloud,2.0,True,Remote,2024
RW-INT-SRM_STA_002-02,SRM_STA_002,DataNest,Startup,SDE Intern,AI,6.0,True,Remote,2023
RW-INT-SRM_STA_002_V2-01,SRM_STA_002_V2,Nexora,Tier3,SDE Intern,Data,3.0,True,Hybrid,2025
RW-INT-SRM_STA_002_V2-02,SRM_STA_002_V2,CodeWave,Tier1,Data Analyst Intern,Data,6.0,True,Hybrid,2023
RW-INT-SRM_STA_003-01,SRM_STA_003,CodeWave,Tier2,Data Analyst Intern,Web,3.0,False,On-site,2026
RW-INT-SRM_STA_003_V2-01,SRM_STA_003_V2,CloudBridge,Tier1,Data Analyst Intern,Data,3.0,False,Remote,2022
RW-INT-SRM_STA_004-01,SRM_STA_004,CodeWave,Tier1,ML Intern,AI,6.0,False,Hybrid,2022
RW-INT-SRM_STA_004-02,SRM_STA_004,FinSight,Startup,Web Developer Intern,Data,6.0,True,Remote,2022
RW-INT-SRM_STA_004_V2-01,SRM_STA_004_V2,Nexora,Tier1,Web Developer Intern,Cloud,2.0,True,Hybrid,2023
RW-INT-SRM_STA_004_V2-02,SRM_STA_004_V2,DataNest,Tier1,ML Intern,Cloud,2.0,False,On-site,2023
RW-INT-SRM_STA_005-01,SRM_STA_005,Nexora,Startup,Data Analyst Intern,Data,6.0,True,On-site,2026
RW-INT-SRM_STA_005-02,SRM_STA_005,CodeWave,Tier3,Web Developer Intern,AI,3.0,True,Hybrid,2026
RW-INT-SRM_STA_005_V2-01,SRM_STA_005_V2,Nexora,Tier2,Data Analyst Intern,Data,2.0,False,On-site,2022
RW-INT-SRM_STA_005_V2-02,SRM_STA_005_V2,CloudBridge,Startup,Data Analyst Intern,Web,6.0,True,Hybrid,2025
RW-INT-SRM_STA_007-01,SRM_STA_007,Nexora,Tier3,Web Developer Intern,AI,2.0,True,Hybrid,2023
RW-INT-SRM_STA_007-02,SRM_STA_007,FinSight,Startup,Web Developer Intern,Data,1.0,False,Remote,2026
RW-INT-SRM_STA_007_V2-01,SRM_STA_007_V2,CloudBridge,Tier2,SDE Intern,Cloud,3.0,True,Remote,2026
RW-INT-SRM_STA_007_V2-02,SRM_STA_007_V2,CodeWave,Tier1,Data Analyst Intern,Data,6.0,True,On-site,2024
RW-INT-SRM_STA_009-01,SRM_STA_009,Nexora,Startup,SDE Intern,AI,2.0,False,Remote,2025
RW-INT-SRM_STA_009_V2-01,SRM_STA_009_V2,DataNest,Tier2,Data Analyst Intern,Data,2.0,True,On-site,2026
RW-INT-SRM_STA_010-01,SRM_STA_010,DataNest,Tier3,ML Intern,Data,2.0,True,Remote,2022
RW-INT-SRM_STA_010_V2-01,SRM_STA_010_V2,FinSight,Tier3,Data Analyst Intern,Data,2.0,True,On-site,2025
RW-INT-SRM_STA_011-01,SRM_STA_011,CloudBridge,Tier1,Data Analyst Intern,Cloud,3.0,False,On-site,2022
RW-INT-SRM_STA_011-02,SRM_STA_011,CloudBridge,Tier3,SDE Intern,AI,2.0,True,On-site,2024
RW-INT-SRM_STA_011_V2-01,SRM_STA_011_V2,CloudBridge,Tier2,Data Analyst Intern,Data,6.0,True,Remote,2026
RW-INT-SRM_STA_011_V2-02,SRM_STA_011_V2,CloudBridge,Startup,SDE Intern,Cloud,6.0,True,Hybrid,2024
RW-INT-SRM_STA_014-01,SRM_STA_014,Nexora,Startup,ML Intern,AI,1.0,False,Remote,2022
RW-INT-SRM_STA_014_V2-01,SRM_STA_014_V2,FinSight,Tier3,Web Developer Intern,AI,2.0,True,Hybrid,2025
RW-INT-SRM_STA_015-01,SRM_STA_015,FinSight,Tier2,Web Developer Intern,Data,6.0,True,Hybrid,2025
RW-INT-SRM_STA_015-02,SRM_STA_015,FinSight,Tier2,Data Analyst Intern,Cloud,1.0,False,Hybrid,2025
RW-INT-SRM_STA_015_V2-01,SRM_STA_015_V2,FinSight,Tier1,Web Developer Intern,Web,1.0,False,Hybrid,2026
RW-INT-SRM_STA_015_V2-02,SRM_STA_015_V2,Nexora,Tier2,ML Intern,Data,1.0,False,Remote,2023
RW-INT-SRM_STA_017-01,SRM_STA_017,DataNest,Tier1,Data Analyst Intern,AI,2.0,False,Remote,2024
RW-INT-SRM_STA_017_V2-01,SRM_STA_017_V2,CloudBridge,Tier2,Web Developer Intern,Web,6.0,False,Remote,2023
RW-INT-SRM_STA_020-01,SRM_STA_020,CodeWave,Tier3,Web Developer Intern,AI,2.0,True,On-site,2022
RW-INT-SRM_STA_020_V2-01,SRM_STA_020_V2,DataNest,Tier1,Web Developer Intern,Cloud,6.0,False,On-site,2025
RW-INT-SRM_STA_021-01,SRM_STA_021,CodeWave,Tier1,Data Analyst Intern,Web,6.0,False,Hybrid,2024
RW-INT-SRM_STA_021-02,SRM_STA_021,CloudBridge,Tier1,Web Developer Intern,Data,3.0,True,Remote,2023
RW-INT-SRM_STA_021_V2-01,SRM_STA_021_V2,Nexora,Startup,SDE Intern,Web,2.0,True,Hybrid,2025
RW-INT-SRM_STA_021_V2-02,SRM_STA_021_V2,Nexora,Startup,Web Developer Intern,Web,2.0,False,Hybrid,2022
RW-INT-SRM_STA_026-01,SRM_STA_026,FinSight,Tier3,SDE Intern,Data,2.0,False,On-site,2026
RW-INT-SRM_STA_026-02,SRM_STA_026,Nexora,Startup,ML Intern,Cloud,1.0,False,Remote,2024
RW-INT-SRM_STA_026_V2-01,SRM_STA_026_V2,Nexora,Startup,Web Developer Intern,Web,1.0,False,On-site,2022
RW-INT-SRM_STA_026_V2-02,SRM_STA_026_V2,DataNest,Tier3,ML Intern,Cloud,6.0,False,On-site,2026
RW-INT-SRM_STA_028-01,SRM_STA_028,CloudBridge,Startup,ML Intern,Web,1.0,True,On-site,2025
RW-INT-SRM_STA_028-02,SRM_STA_028,CodeWave,Tier1,SDE Intern,AI,1.0,True,Hybrid,2024
RW-INT-SRM_STA_028_V2-01,SRM_STA_028_V2,DataNest,Tier3,Data Analyst Intern,AI,1.0,False,On-site,2025
RW-INT-SRM_STA_028_V2-02,SRM_STA_028_V2,FinSight,Tier2,ML Intern,Web,2.0,False,On-site,2024
RW-INT-SRM_STA_029-01,SRM_STA_029,Nexora,Tier2,Web Developer Intern,Web,6.0,False,Remote,2024
RW-INT-SRM_STA_029_V2-01,SRM_STA_029_V2,CodeWave,Startup,Data Analyst Intern,Web,2.0,False,Hybrid,2024
RW-INT-SRM_STA_032-01,SRM_STA_032,DataNest,Startup,Web Developer Intern,AI,2.0,True,Remote,2024
RW-INT-SRM_STA_032-02,SRM_STA_032,FinSight,Tier2,SDE Intern,Web,6.0,False,On-site,2022
RW-INT-SRM_STA_032_V2-01,SRM_STA_032_V2,FinSight,Tier3,Web Developer Intern,AI,1.0,False,Hybrid,2025
RW-INT-SRM_STA_032_V2-02,SRM_STA_032_V2,CodeWave,Startup,SDE Intern,Cloud,2.0,True,Hybrid,2023
RW-INT-SRM_STA_033-01,SRM_STA_033,Nexora,Tier2,Web Developer Intern,AI,2.0,False,Remote,2026
RW-INT-SRM_STA_033_V2-01,SRM_STA_033_V2,CodeWave,Tier1,ML Intern,AI,2.0,True,Hybrid,2024
RW-INT-SRM_STA_035-01,SRM_STA_035,FinSight,Startup,Data Analyst Intern,Cloud,2.0,True,Hybrid,2024
RW-INT-SRM_STA_035_V2-01,SRM_STA_035_V2,DataNest,Tier3,SDE Intern,Web,2.0,False,Hybrid,2025
RW-INT-SRM_STA_037-01,SRM_STA_037,Nexora,Tier3,Data Analyst Intern,Data,1.0,False,Remote,2022
RW-INT-SRM_STA_037_V2-01,SRM_STA_037_V2,FinSight,Tier1,Data Analyst Intern,Cloud,3.0,True,Hybrid,2022
RW-INT-SRM_STA_041-01,SRM_STA_041,CodeWave,Tier2,Data Analyst Intern,Cloud,3.0,False,Hybrid,2025
RW-INT-SRM_STA_041-02,SRM_STA_041,DataNest,Startup,Data Analyst Intern,Cloud,1.0,True,Remote,2023
RW-INT-SRM_STA_042-01,SRM_STA_042,FinSight,Tier3,Data Analyst Intern,Web,2.0,False,Hybrid,2022
RW-INT-SRM_STA_042-02,SRM_STA_042,CloudBridge,Tier3,Data Analyst Intern,Cloud,1.0,True,Remote,2022
RW-INT-SRM_STA_043-01,SRM_STA_043,FinSight,Tier2,ML Intern,Cloud,1.0,True,Remote,2025
RW-INT-SRM_STA_044-01,SRM_STA_044,CloudBridge,Startup,SDE Intern,Cloud,3.0,True,On-site,2026
RW-INT-SRM_STA_045-01,SRM_STA_045,CodeWave,Tier3,SDE Intern,Web,6.0,False,Hybrid,2024
RW-INT-SRM_STA_046-01,SRM_STA_046,FinSight,Tier3,SDE Intern,Web,3.0,False,Remote,2024
RW-INT-SRM_STA_046-02,SRM_STA_046,FinSight,Tier1,Data Analyst Intern,AI,1.0,True,Hybrid,2023
RW-INT-SRM_STA_047-01,SRM_STA_047,Nexora,Tier3,SDE Intern,Data,6.0,False,Remote,2022
RW-INT-SRM_STA_048-01,SRM_STA_048,Nexora,Startup,SDE Intern,Web,3.0,True,Remote,2025
RW-INT-SRM_STA_049-01,SRM_STA_049,DataNest,Tier2,SDE Intern,Cloud,1.0,True,Hybrid,2025
RW-INT-SRM_STA_050-01,SRM_STA_050,FinSight,Startup,Web Developer Intern,Cloud,6.0,False,Hybrid,2026
RW-INT-SRM_STA_051-01,SRM_STA_051,Nexora,Tier3,Web Developer Intern,Web,6.0,True,On-site,2023
RW-INT-SRM_STA_051-02,SRM_STA_051,Nexora,Tier3,SDE Intern,Web,1.0,True,Hybrid,2024
RW-INT-SRM_STA_052-01,SRM_STA_052,FinSight,Startup,SDE Intern,Web,2.0,True,Remote,2023
RW-INT-SRM_STA_052-02,SRM_STA_052,CodeWave,Tier2,Data Analyst Intern,Web,1.0,True,Remote,2024
RW-INT-SRM_STA_053-01,SRM_STA_053,CodeWave,Tier1,Web Developer Intern,Data,3.0,False,Remote,2025
RW-INT-SRM_STA_054-01,SRM_STA_054,CodeWave,Tier3,ML Intern,Web,6.0,True,On-site,2022
RW-INT-SRM_STA_054-02,SRM_STA_054,FinSight,Tier3,Web Developer Intern,Cloud,3.0,False,On-site,2025
RW-INT-SRM_STA_055-01,SRM_STA_055,CloudBridge,Tier3,Web Developer Intern,Web,3.0,True,Hybrid,2026
RW-INT-SRM_STA_055-02,SRM_STA_055,Nexora,Startup,SDE Intern,Web,1.0,False,Remote,2022
RW-INT-SRM_STA_056-01,SRM_STA_056,FinSight,Tier1,SDE Intern,Data,1.0,False,Hybrid,2023
RW-INT-SRM_STA_056-02,SRM_STA_056,DataNest,Tier2,Web Developer Intern,AI,2.0,True,On-site,2025
RW-INT-SRM_STA_057-01,SRM_STA_057,Nexora,Startup,ML Intern,Data,3.0,False,Hybrid,2024
RW-INT-SRM_STA_058-01,SRM_STA_058,CodeWave,Startup,Data Analyst Intern,AI,1.0,False,Remote,2025
RW-INT-SRM_STA_058-02,SRM_STA_058,CodeWave,Tier1,Web Developer Intern,AI,1.0,False,Hybrid,2023
RW-INT-SRM_STA_059-01,SRM_STA_059,CloudBridge,Tier3,ML Intern,Data,6.0,False,Remote,2023
RW-INT-SRM_STA_059-02,SRM_STA_059,DataNest,Startup,SDE Intern,Cloud,6.0,False,Remote,2023
RW-INT-SRM_STA_060-01,SRM_STA_060,CloudBridge,Startup,Data Analyst Intern,Data,1.0,True,Remote,2026
RW-INT-SRM_STA_060-02,SRM_STA_060,FinSight,Tier2,Web Developer Intern,AI,1.0,True,Hybrid,2022
RW-INT-SRM_STA_061-01,SRM_STA_061,CloudBridge,Tier2,Data Analyst Intern,Data,2.0,True,Hybrid,2022
RW-INT-SRM_STA_061-02,SRM_STA_061,CodeWave,Startup,ML Intern,Web,6.0,True,Hybrid,2023
RW-INT-SRM_STA_062-01,SRM_STA_062,Nexora,Tier1,ML Intern,Web,6.0,False,Remote,2023
RW-INT-SRM_STA_063-01,SRM_STA_063,Nexora,Tier2,Data Analyst Intern,AI,3.0,True,Hybrid,2024
RW-INT-SRM_STA_063-02,SRM_STA_063,Nexora,Tier2,Web Developer Intern,Data,1.0,False,Remote,2024
RW-INT-SRM_STA_064-01,SRM_STA_064,DataNest,Tier3,Web Developer Intern,AI,2.0,False,Hybrid,2026
RW-INT-SRM_STA_065-01,SRM_STA_065,DataNest,Tier3,ML Intern,Data,1.0,True,On-site,2024
RW-INT-SRM_STA_066-01,SRM_STA_066,DataNest,Tier3,SDE Intern,Cloud,3.0,True,On-site,2026
RW-INT-SRM_STA_066-02,SRM_STA_066,DataNest,Tier2,Web Developer Intern,Web,3.0,True,Hybrid,2025
RW-INT-SRM_STA_067-01,SRM_STA_067,CloudBridge,Tier3,ML Intern,Data,6.0,False,On-site,2023
RW-INT-SRM_STA_067-02,SRM_STA_067,CodeWave,Startup,SDE Intern,AI,6.0,True,Remote,2023
RW-INT-SRM_STA_068-01,SRM_STA_068,FinSight,Tier3,SDE Intern,Cloud,3.0,False,On-site,2024
RW-INT-SRM_STA_069-01,SRM_STA_069,Nexora,Tier2,SDE Intern,AI,6.0,True,Remote,2024
RW-INT-SRM_STA_070-01,SRM_STA_070,DataNest,Tier1,Web Developer Intern,Cloud,3.0,True,On-site,2025
RW-INT-SRM_STA_071-01,SRM_STA_071,CodeWave,Tier1,Web Developer Intern,AI,1.0,False,On-site,2023
RW-INT-SRM_STA_072-01,SRM_STA_072,Nexora,Tier2,SDE Intern,AI,2.0,False,Hybrid,2026
RW-INT-SRM_STA_072-02,SRM_STA_072,CloudBridge,Tier2,Web Developer Intern,AI,3.0,True,On-site,2024
RW-INT-SRM_STA_073-01,SRM_STA_073,Nexora,Tier1,Data Analyst Intern,AI,6.0,False,Remote,2025
RW-INT-SRM_STA_073-02,SRM_STA_073,CloudBridge,Tier2,Web Developer Intern,Cloud,1.0,False,On-site,2026
RW-INT-SRM_STA_074-01,SRM_STA_074,FinSight,Tier2,Data Analyst Intern,Cloud,6.0,False,Hybrid,2022
RW-INT-SRM_STA_075-01,SRM_STA_075,DataNest,Tier2,ML Intern,AI,6.0,False,Hybrid,2023
RW-INT-SRM_STA_076-01,SRM_STA_076,CloudBridge,Tier2,SDE Intern,Data,6.0,False,Hybrid,2025
