project_id,student_id,project_title,domain,tech_stack,complexity,team_size,has_deployment,has_github,duration_weeks,year
RW-PROJ-SRM_STA_001-01,SRM_STA_001,Skill Gap Analyzer,Cloud,"Python,React,Pandas",Advanced,2,True,False,8,2023
RW-PROJ-SRM_STA_001-02,SRM_STA_001,Resume Intelligence Dashboard,AI,"Python,AWS,Pandas",Advanced,3,False,True,11,2026
RW-PROJ-SRM_STA_001_V2-01,SRM_STA_001_V2,Placement Eligibility Engine,Web,"Python,FastAPI,SQL",Basic,4,True,True,3,2026
RW-PROJ-SRM_STA_001_V2-02,SRM_STA_001_V2,Candidate Ranking System,Web,"React,FastAPI,Pandas",Intermediate,4,False,True,3,2023
RW-PROJ-SRM_STA_002-01,SRM_STA_002,Skill Gap Analyzer,Data,"SQL,Pandas,Python",Intermediate,1,False,False,7,2024
RW-PROJ-SRM_STA_002-02,SRM_STA_002,Candidate Ranking System,IoT,"React,AWS,Docker",Advanced,1,False,True,11,2022
RW-PROJ-SRM_STA_002-03,SRM_STA_002,Candidate Ranking System,IoT,"Docker,AWS,SQL",Intermediate,3,False,True,12,2024
RW-PROJ-SRM_STA_002_V2-01,SRM_STA_002_V2,Candidate Ranking System,AI,"AWS,React,Pandas",Basic,4,True,True,8,2025
RW-PROJ-SRM_STA_002_V2-02,SRM_STA_002_V2,Candidate Ranking System,AI,"Docker,FastAPI,SQL",Advanced,3,True,False,12,2024
RW-PROJ-SRM_STA_002_V2-03,SRM_STA_002_V2,Skill Gap Analyzer,AI,"React,SQL,Python",Intermediate,4,True,True,12,2026
RW-PROJ-SRM_STA_003-01,SRM_STA_003,Resume Intelligence Dashboard,IoT,"AWS,React,Docker",Advanced,1,True,True,11,2022
RW-PROJ-SRM_STA_003-02,SRM_STA_003,Resume Intelligence Dashboard,Data,"Python,AWS,FastAPI",Basic,3,True,False,11,2024
RW-PROJ-SRM_STA_003-03,SRM_STA_003,Resume Intelligence Dashboard,IoT,"Docker,SQL,React",Intermediate,2,False,True,8,2025
