student_id,skill_name,proficiency,verified
SRM_STA_001,OpenCV,Beginner,False
SRM_STA_001,NLP,Intermediate,True
SRM_STA_001,SQL,Intermediate,True
SRM_STA_001,Python,Intermediate,False
SRM_STA_001_V2,OpenCV,Beginner,True
SRM_STA_001_V2,NLP,Intermediate,False
SRM_STA_001_V2,SQL,Beginner,True
SRM_STA_001_V2,Python,Advanced,True
SRM_STA_002,Flask,Advanced,False
SRM_STA_002,TypeScript,Advanced,True
SRM_STA_002,Git,Beginner,False
SRM_STA_002,Node.js,Beginner,False
SRM_STA_002,MongoDB,Intermediate,False
SRM_STA_002,Java,Beginner,True
SRM_STA_002,PostgreSQL,Advanced,False
SRM_STA_002,Django,Beginner,False
SRM_STA_002_V2,Flask,Advanced,True
SRM_STA_002_V2,TypeScript,Intermediate,False
SRM_STA_002_V2,Git,Intermediate,True
SRM_STA_002_V2,Node.js,Advanced,False
SRM_STA_002_V2,MongoDB,Advanced,False
SRM_STA_002_V2,Java,Intermediate,False
SRM_STA_002_V2,PostgreSQL,Beginner,False
SRM_STA_002_V2,Django,Advanced,True
SRM_STA_003,Docker,Advanced,False
SRM_STA_003,Linux,Beginner,True
SRM_STA_003,JavaScript,Beginner,True
SRM_STA_003,TypeScript,Beginner,True
SRM_STA_003,WebSockets,Beginner,True
SRM_STA_003,Spring Boot,Advanced,False
SRM_STA_003,REST APIs,Intermediate,True
SRM_STA_003_V2,Docker,Advanced,False
SRM_STA_003_V2,Linux,Advanced,True
SRM_STA_003_V2,JavaScript,Intermediate,False
SRM_STA_003_V2,TypeScript,Advanced,True
SRM_STA_003_V2,WebSockets,Advanced,False
SRM_STA_003_V2,Spring Boot,Beginner,False
SRM_STA_003_V2,REST APIs,Intermediate,True
SRM_STA_004,GitHub Actions,Intermediate,False
SRM_STA_004,Kubernetes,Intermediate,True
SRM_STA_004,Ansible,Beginner,False
SRM_STA_004,Bash,Intermediate,True
SRM_STA_004,Jenkins,Beginner,True
