student_id,cgpa,cgpa_normalized,10th_normalized,12th_normalized,backlogs_history,active_backlogs,department,num_certs,num_global_premium,num_global_standard,num_national,num_local,max_cert_tier,num_projects,max_project_complexity,num_advanced_projects,num_deployed,num_with_github,total_project_weeks,num_internships,total_internship_months,max_internship_tier,num_papers,max_paper_tier,num_first_author,num_skills,num_advanced_skills,num_verified_skills
SRM_STA_001,7.11,0.7110000000000001,0.608,0.637,0,0,AIML,4,1,0,1,2,4,2,3,2,1,1,19,0,0.0,0,0,0,0,4,0,2
SRM_STA_001_V2,7.11,0.7110000000000001,0.608,0.637,0,0,AIML,4,0,2,2,0,3,2,2,0,1,2,6,0,0.0,0,0,0,0,4,1,3
SRM_STA_002,7.74,0.774,0.7120000000000001,0.754,0,2,CSE,4,1,2,1,0,4,3,3,1,0,2,30,2,8.0,5,0,0,0,8,3,2
SRM_STA_002_V2,7.74,0.774,0.7120000000000001,0.754,0,2,CSE,4,0,2,0,2,3,3,3,1,3,2,32,2,9.0,5,0,0,0,8,4,3
SRM_STA_003,8.46,0.8460000000000001,0.9670000000000001,0.863,0,1,CSE,1,0,1,0,0,3,3,3,1,2,2,30,1,3.0,4,0,0,0,7,2,5
SRM_STA_003_V2,8.46,0.8460000000000001,0.9670000000000001,0.863,0,1,CSE,1,0,0,0,1,1,3,2,0,2,1,34,1,3.0,5,0,0,0,7,4,3
SRM_STA_004,6.59,0.659,0.785,0.675,0,0,CSE,1,1,0,0,0,4,2,3,1,0,1,24,2,12.0,5,0,0,0,9,1,5
SRM_STA_004_V2,6.59,0.659,0.785,0.675,0,0,CSE,1,0,1,0,0,3,2,2,0,1,1,20,2,4.0,5,0,0,0,9,3,8
SRM_STA_005,7.66,0.766,0.755,0.8009999999999999,0,0,AIML,1,1,0,0,0,4,2,2,0,2,2,10,2,9.0,3,0,0,0,9,5,6
SRM_STA_005_V2,7.66,0.766,0.755,0.8009999999999999,0,0,AIML,1,1,0,0,0,4,2,2,0,2,1,16,2,8.0,4,0,0,0,9,4,7
SRM_STA_006,8.85,0.885,0.765,0.82,0,0,AIML,1,1,0,0,0,4,2,3,1,1,1,17,0,0.0,0,0,0,0,6,1,4
SRM_STA_006_V2,8.85,0.885,0.765,0.82,0,0,AIML,1,0,0,1,0,2,2,1,0,0,2,16,0,0.0,0,0,0,0,6,2,5
