student_id,skill_name,proficiency,verified
S0001,OpenCV,Advanced,True
S0001,Deep Learning,Intermediate,False
S0001,C,Advanced,True
S0001,R,Intermediate,False
S0002,Computer Vision,Intermediate,True
S0002,MS Office,Beginner,False
S0002,Keras,Beginner,False
S0002,C,Advanced,True
S0002,GCP,Intermediate,False
S0003,PHP,Intermediate,False
S0003,NLTK,Beginner,False
S0003,CI/CD,Advanced,True
S0004,OpenCV,Intermediate,True
S0004,C,Beginner,False
S0004,GCP,Intermediate,True
S0005,C,Beginner,False
S0005,RTOS,Beginner,True
S0005,PCB Design,Advanced,True
S0005,Arduino,Intermediate,True
S0005,Embedded C,Beginner,False
S0006,TypeScript,Intermediate,False
S0006,AWS,Beginner,False
S0006,Ethical Hacking,Intermediate,False
S0007,Next.js,Intermediate,False
S0007,TypeScript,Intermediate,False
S0007,C++,Advanced,True
S0008,Computer Vision,Beginner,False
S0008,Docker,Advanced,True
S0008,Go,Advanced,True
S0009,Rust,Intermediate,False
S0009,Swift,Intermediate,False
S0009,GraphQL,Beginner,False
S0009,Flask,Beginner,False
S0010,MS Office,Intermediate,False
S0010,Python,Intermediate,False
S0010,Jenkins,Intermediate,True
S0011,C++,Intermediate,True
S0011,Leadership,Beginner,False
S0011,Arduino,Advanced,True
S0011,RTOS,Intermediate,True
S0012,Ethical Hacking,Advanced,True
S0012,GCP,Intermediate,True
S0012,Leadership,Beginner,False
S0013,Vue.js,Advanced,True
S0013,Embedded C,Advanced,False
S0013,NLP,Beginner,False
S0014,Git,Intermediate,False
S0014,Hadoop,Intermediate,True
S0014,VHDL,Beginner,False
S0015,JavaScript,Advanced,True
S0015,NLP,Intermediate,True
S0015,NLTK,Advanced,True
S0015,Docker,Advanced,True
S0016,JIRA,Intermediate,True
S0016,Verilog,Intermediate,True
S0016,Jenkins,Beginner,False
S0017,HTML/CSS,Intermediate,True
S0017,Scikit-learn,Beginner,False
S0017,Keras,Beginner,False
S0017,Hadoop,Beginner,False
S0018,NLP,Intermediate,True
S0018,Scrum,Beginner,False
S0018,Penetration Testing,Advanced,True
S0018,C++,Beginner,False
S0019,Azure,Beginner,False
S0019,AWS,Beginner,False
S0019,Scikit-learn,Intermediate,True
S0019,Hadoop,Advanced,False
S0019,Scala,Beginner,False
S0019,TypeScript,Intermediate,False
S0019,GCP,Beginner,False
S0020,C++,Intermediate,True
S0020,Next.js,Advanced,True
S0021,Ethical Hacking,Intermediate,False
S0021,Go,Beginner,False
S0021,JIRA,Intermediate,True
S0021,Hugging Face,Intermediate,False
S0022,Linux,Advanced,True
S0022,React,Intermediate,True
S0022,TypeScript,Beginner,False
S0022,Node.js,Advanced,False
S0023,Next.js,Advanced,False
S0023,C++,Advanced,True
S0023,Vue.js,Intermediate,False
S0024,Kotlin,Beginner,False
S0024,MATLAB,Intermediate,False
S0024,Verilog,Advanced,False
S0024,PyTorch,Intermediate,True
S0024,Rust,Intermediate,True
S0025,REST APIs,Advanced,True
S0025,Docker,Intermediate,False
